pdes,dv,H,a,e,i
2007 EV,6.447,1.074,1.023,25.0,1.092
2008 UU99,6.447,1.074,1.023,25.1,2.337
2009 SN98,6.447,1.075,1.023,19.1,1.983
2010 AN2,6.447,1.075,1.023,22.2,1.679
1997 AE12,6.447,1.075,1.023,17.8,2.369
2011 LJ19,6.447,1.075,1.023,21.4,2.622
2005 SG26,6.448,1.075,1.023,25.9,2.477
2012 VF46,6.448,1.075,1.023,23.6,1.981
2006 HT30,6.448,1.075,1.024,20.2,2.566
2011 EB74,6.450,1.075,1.024,26.9,0.949
2004 RU109,6.451,1.075,1.024,26.4,1.531
2005 BS1,6.451,1.075,1.024,27.5,1.964
2005 EG94,6.451,1.075,1.024,18.4,1.605
2005 XL80,6.452,1.075,1.024,18.1,1.726
2000 GB2,6.452,1.075,1.024,19.0,2.448
2001 TO48,6.452,1.075,1.024,19.5,1.872
2001 BB16,6.453,1.075,1.024,23.2,0.855
2011 EJ47,6.453,1.075,1.024,22.0,1.358
2011 VH5,6.453,1.075,1.024,21.4,1.321
2001 SD286,6.453,1.076,1.024,25.2,2.098
1993 KH,6.454,1.076,1.024,18.6,1.234
2011 BA12,6.454,1.076,1.024,22.5,2.481
2008 OY2,6.454,1.076,1.024,27.3,2.641
2006 ON1,6.455,1.076,1.025,21.3,2.549
1983 RD,6.456,1.076,1.025,16.8,2.093
2010 RN80,6.456,1.076,1.025,20.2,2.251
2012 BE27,6.456,1.076,1.025,23.5,1.961
2011 SP26,6.456,1.076,1.025,23.8,2.443
2008 OA6,6.457,1.076,1.025,22.7,2.142
2000 UK11,6.457,1.076,1.025,25.3,0.883
2009 FP28,6.458,1.076,1.025,20.8,2.008
2002 VR94,6.458,1.076,1.025,19.1,2.382
2005 EQ95,6.458,1.076,1.025,23.4,1.667
2012 KX,6.459,1.076,1.025,23.5,2.449
1998 QK28,6.459,1.076,1.025,19.4,2.331
2012 HE2,6.459,1.076,1.025,26.0,1.731
2001 UE5,6.459,1.077,1.025,18.7,2.215
2007 PP9,6.459,1.077,1.025,21.3,2.345
2012 YQ1,6.460,1.077,1.025,21.1,1.994
2012 HR2,6.460,1.077,1.025,23.0,2.393
2011 SO189,6.460,1.077,1.025,26.5,1.993
2010 LD64,6.461,1.077,1.026,25.5,2.441
2013 EQ,6.462,1.077,1.026,23.9,2.334
2007 HD15,6.462,1.077,1.026,24.0,1.282
2011 SW71,6.462,1.077,1.026,22.6,2.287
2008 HE2,6.463,1.077,1.026,23.6,2.027
2010 DZ1,6.463,1.077,1.026,25.6,1.474
1990 UA,6.463,1.077,1.026,19.6,1.641
2005 GM162,6.464,1.077,1.026,22.4,2.247
2013 CL22,6.465,1.077,1.026,24.7,2.374
2004 GC19,6.465,1.077,1.026,24.1,2.138
2008 UB95,6.465,1.078,1.026,24.7,0.990
2009 BC11,6.466,1.078,1.026,22.2,2.305
2006 OY4,6.466,1.078,1.026,23.6,2.364
2004 RL251,6.467,1.078,1.026,22.7,2.536
2007 UW1,6.467,1.078,1.027,22.7,0.907
2011 BZ11,6.468,1.078,1.027,25.7,1.402
2008 UV5,6.469,1.078,1.027,26.1,2.539
2006 BQ6,6.469,1.078,1.027,19.7,1.472
2010 UF7,6.469,1.078,1.027,19.3,2.204
2002 OA22,6.469,1.078,1.027,19.4,0.936
2008 CG116,6.470,1.078,1.027,24.2,2.475
2010 PO2,6.470,1.078,1.027,23.2,1.422
2010 RT80,6.472,1.079,1.027,23.0,2.060
2013 BH18,6.472,1.079,1.027,20.7,1.772
2012 QB18,6.472,1.079,1.027,24.0,1.991
2006 KJ89,6.472,1.079,1.027,23.9,2.383
2009 RX4,6.472,1.079,1.027,26.2,1.318
2012 KD6,6.473,1.079,1.027,23.5,2.088
2003 RX7,6.473,1.079,1.027,18.4,1.229
2010 RX3,6.473,1.079,1.027,25.0,2.596
2007 QK2,6.473,1.079,1.028,20.6,2.129
2012 DX32,6.474,1.079,1.028,21.3,2.054
2009 WU25,6.474,1.079,1.028,25.0,2.412
1994 VA1,6.474,1.079,1.028,18.9,1.573
2008 YF29,6.474,1.079,1.028,24.1,2.424
2007 UO6,6.474,1.079,1.028,27.3,2.272
2011 KK15,6.475,1.079,1.028,22.3,2.435
2008 LB,6.475,1.079,1.028,26.7,2.456
2011 UA115,6.475,1.079,1.028,24.7,2.561
2010 VA72,6.476,1.079,1.028,23.3,2.549
2009 ST19,6.476,1.079,1.028,18.3,2.366
2012 VD77,6.476,1.079,1.028,22.8,2.557
2012 RH15,6.477,1.080,1.028,24.8,2.453
2008 JV19,6.477,1.080,1.028,20.6,0.986
2003 MN,6.477,1.080,1.028,23.8,2.300
2011 UO91,6.477,1.080,1.028,25.4,1.192
2012 VL6,6.477,1.080,1.028,20.8,2.341
2008 CC22,6.478,1.080,1.028,24.0,1.961
2002 SL,6.478,1.080,1.028,19.4,2.204
2007 VA3,6.478,1.080,1.028,25.9,2.455
2012 TB53,6.479,1.080,1.028,23.1,1.253
2011 GO65,6.479,1.080,1.028,22.9,1.918
2004 QZ2,6.479,1.080,1.028,18.1,2.260
2000 WJ107,6.480,1.080,1.028,23.8,1.948
2004 ER21,6.480,1.080,1.029,24.4,0.900
2009 ST171,6.480,1.080,1.029,26.8,2.580
2007 VF189,6.481,1.080,1.029,28.3,1.207
2010 AE30,6.481,1.080,1.029,23.6,1.269
2009 XK8,6.481,1.080,1.029,25.1,2.464
2009 WZ51,6.483,1.080,1.029,25.4,2.365
2003 AB23,6.483,1.081,1.029,19.9,1.555
2003 SK5,6.483,1.081,1.029,20.0,2.099
2009 EO2,6.484,1.081,1.029,19.6,1.711
2010 RK64,6.485,1.081,1.029,21.0,1.530
1992 WD5,6.486,1.081,1.030,16.1,1.794
2006 WJ3,6.487,1.081,1.030,20.0,1.752
2011 HC36,6.487,1.081,1.030,20.7,1.640
2003 AJ69,6.487,1.081,1.030,24.9,2.469
2011 UX63,6.487,1.081,1.030,24.5,2.257
2004 SY4,6.488,1.081,1.030,24.4,2.412
2000 DO8,6.488,1.081,1.030,24.8,2.471
2008 WL61,6.488,1.081,1.030,19.5,2.257
2003 QO104,6.488,1.081,1.030,16.1,2.134
1998 ME3,6.488,1.081,1.030,19.2,2.177
2011 UR63,6.489,1.081,1.030,25.8,2.217
1995 SA4,6.489,1.081,1.030,22.3,2.498
2010 GM23,6.489,1.081,1.030,24.7,1.308
2011 WP69,6.489,1.082,1.030,23.0,1.698
2013 EV27,6.490,1.082,1.030,27.0,1.984
2010 TN54,6.490,1.082,1.030,19.1,2.109
2008 PH3,6.491,1.082,1.030,21.7,2.127
2011 OX4,6.491,1.082,1.030,23.6,2.426
2000 RJ12,6.491,1.082,1.030,22.3,2.153
2012 FR52,6.491,1.082,1.030,23.2,2.027
2005 EZ223,6.491,1.082,1.030,22.4,1.755
2010 OD101,6.492,1.082,1.030,20.7,1.619
2012 JM4,6.492,1.082,1.030,21.2,1.934
2009 UJ5,6.492,1.082,1.031,25.3,2.423
1996 HW1,6.492,1.082,1.031,15.3,2.045
2000 RK60,6.492,1.082,1.031,21.6,2.179
2008 GL20,6.492,1.082,1.031,26.6,0.894
2007 VH184,6.492,1.082,1.031,21.9,2.558
2004 NK8,6.493,1.082,1.031,23.5,1.326
2001 YJ4,6.493,1.082,1.031,16.3,2.271
2000 PY5,6.494,1.082,1.031,21.1,2.319
2011 OE,6.494,1.082,1.031,23.3,2.283
2010 DG,6.495,1.082,1.031,24.8,1.625
2010 GW23,6.496,1.083,1.031,24.0,1.684
2010 VY71,6.496,1.083,1.031,24.5,2.476
2004 FA5,6.497,1.083,1.031,24.5,1.305
2005 VA,6.497,1.083,1.031,23.0,2.477
2008 CP116,6.497,1.083,1.031,22.9,2.476
2013 FK,6.498,1.083,1.031,23.3,2.511
2007 RS1,6.498,1.083,1.032,30.9,1.244
2012 PN,6.499,1.083,1.032,24.7,2.527
2010 NW117,6.499,1.083,1.032,18.2,2.354
2008 KN11,6.500,1.083,1.032,23.2,1.708
2002 XQ40,6.500,1.083,1.032,22.4,1.075
2001 SY169,6.500,1.083,1.032,22.7,1.228
2003 SY4,6.502,1.084,1.032,26.5,2.477
2010 RL42,6.502,1.084,1.032,22.5,2.094
1979 VA,6.503,1.084,1.032,16.0,2.641
2010 RG31,6.503,1.084,1.032,22.6,1.099
2003 YQ1,6.504,1.084,1.032,22.0,1.746
2007 RP12,6.504,1.084,1.032,24.6,2.278
2011 GQ59,6.504,1.084,1.032,22.8,2.447
2012 GE,6.504,1.084,1.032,26.8,1.124
2011 JP29,6.504,1.084,1.032,19.0,2.153
2001 XR30,6.504,1.084,1.032,20.9,1.297
2011 KC15,6.506,1.084,1.033,21.2,2.436
2011 MK,6.507,1.084,1.033,20.7,2.113
2009 BK58,6.507,1.085,1.033,25.8,2.552
2005 NB7,6.507,1.085,1.033,18.7,2.044
2012 DM4,6.508,1.085,1.033,24.2,1.948
2009 CV1,6.508,1.085,1.033,26.0,1.817
1997 TC25,6.509,1.085,1.033,24.6,2.595
2011 GC,6.509,1.085,1.033,22.0,2.249
2012 QQ50,6.509,1.085,1.033,19.8,1.717
2006 JU,6.509,1.085,1.033,19.6,2.158
2003 AL18,6.510,1.085,1.033,17.8,1.684
2003 LN6,6.510,1.085,1.033,24.7,0.857
2010 FC81,6.510,1.085,1.033,21.8,2.677
2006 BX139,6.510,1.085,1.033,20.0,1.958
2006 EH1,6.512,1.085,1.034,26.5,2.043
2006 TF1,6.512,1.085,1.034,20.5,2.565
1999 TM13,6.513,1.085,1.034,23.7,2.452
2011 UA,6.513,1.086,1.034,18.4,2.292
2011 UZ255,6.513,1.086,1.034,23.4,2.036
2005 JN3,6.514,1.086,1.034,20.9,2.179
2005 JU108,6.514,1.086,1.034,19.7,2.125
2005 UF,6.514,1.086,1.034,26.1,1.670
1992 UY4,6.514,1.086,1.034,17.8,2.640
1932 EA1,6.515,1.086,1.034,17.7,1.919
2009 MX6,6.515,1.086,1.034,19.2,2.151
2003 KN18,6.515,1.086,1.034,18.6,1.748
2000 WT28,6.515,1.086,1.034,24.5,2.550
2001 SX169,6.516,1.086,1.034,18.2,1.347
2011 SM189,6.516,1.086,1.034,24.7,2.458
2001 FO127,6.516,1.086,1.034,27.5,0.889
1998 EE3,6.517,1.086,1.034,27.2,2.206
2008 XC1,6.517,1.086,1.035,23.7,2.053
2010 GU5,6.517,1.086,1.035,24.6,2.353
1989 AZ,6.518,1.086,1.035,19.6,1.648
2011 WO2,6.518,1.086,1.035,25.4,1.883
2004 DD,6.518,1.086,1.035,18.9,1.589
2006 HW5,6.518,1.086,1.035,24.3,2.410
2003 WE157,6.518,1.086,1.035,21.2,2.245
1994 NK,6.519,1.086,1.035,20.0,2.347
2006 FU,6.519,1.087,1.035,25.6,1.512
2012 PC20,6.519,1.087,1.035,21.3,1.328
2004 MS1,6.519,1.087,1.035,22.3,2.279
2004 HZ,6.519,1.087,1.035,22.6,1.303
2001 FZ6,6.520,1.087,1.035,18.3,1.496
2005 GF81,6.520,1.087,1.035,20.0,2.419
2012 PP24,6.520,1.087,1.035,22.2,2.149
2006 LH,6.521,1.087,1.035,24.8,1.084
2008 GW20,6.522,1.087,1.035,22.1,2.380
2000 HP40,6.522,1.087,1.035,24.0,1.291
2007 TW24,6.522,1.087,1.035,26.1,2.144
2003 AJ73,6.522,1.087,1.035,18.6,1.812
2005 MA,6.522,1.087,1.035,26.9,2.033
2006 WO127,6.523,1.087,1.035,16.3,2.193
2009 QR8,6.523,1.087,1.035,21.8,2.119
2002 SN,6.523,1.087,1.035,20.5,1.949
2008 UW99,6.525,1.087,1.036,24.7,2.463
2010 XZ67,6.525,1.088,1.036,19.8,2.060
2002 BM5,6.526,1.088,1.036,22.3,1.544
2011 CR4,6.526,1.088,1.036,21.2,2.374
2005 WM3,6.527,1.088,1.036,27.7,2.676
2009 KO4,6.527,1.088,1.036,24.4,2.453
2005 GP33,6.528,1.088,1.036,24.3,2.417
2010 RY3,6.528,1.088,1.036,25.1,2.621
2008 FE,6.529,1.088,1.036,24.1,1.927
2004 BW1,6.529,1.088,1.036,18.9,2.314
2007 TO74,6.529,1.088,1.036,19.8,2.160
1991 OA,6.530,1.088,1.036,18.8,2.508
2000 EE104,6.530,1.088,1.036,20.3,1.005
1998 YO4,6.530,1.088,1.036,16.4,1.653
2009 SC229,6.530,1.088,1.037,19.0,2.146
2000 GD147,6.530,1.088,1.037,20.3,1.893
2012 TM139,6.531,1.089,1.037,19.5,2.116
2007 TY24,6.532,1.089,1.037,25.3,2.494
2012 TJ53,6.532,1.089,1.037,26.3,1.959
2001 FZ,6.532,1.089,1.037,21.0,2.426
1999 KK1,6.532,1.089,1.037,18.2,2.116
2004 ME6,6.532,1.089,1.037,22.6,2.366
1987 WC,6.533,1.089,1.037,19.9,1.362
2008 JG,6.533,1.089,1.037,20.8,1.052
2001 BZ39,6.534,1.089,1.037,18.8,1.988
2011 MF,6.534,1.089,1.037,22.6,2.090
2002 AA,6.534,1.089,1.037,19.3,1.148
2009 CS1,6.534,1.089,1.037,21.0,1.345
2006 UJ,6.534,1.089,1.037,23.9,2.229
2010 CP44,6.534,1.089,1.037,25.7,2.091
2011 SF16,6.534,1.089,1.037,24.5,2.196
2008 HX1,6.535,1.089,1.037,23.7,2.211
2011 AS26,6.535,1.089,1.037,22.7,2.143
2009 PQ1,6.536,1.089,1.037,22.5,1.497
2008 KX2,6.536,1.089,1.037,25.1,2.402
2011 UM169,6.536,1.089,1.037,25.1,1.700
2010 FS9,6.536,1.089,1.038,24.9,2.578
2001 FY,6.537,1.089,1.038,18.9,1.886
2008 GP3,6.537,1.089,1.038,25.3,1.172
1999 RZ31,6.537,1.089,1.038,23.8,2.596
2010 VM1,6.537,1.090,1.038,20.5,2.104
2012 AA3,6.537,1.090,1.038,22.4,1.931
2010 LY63,6.537,1.090,1.038,17.9,1.903
2012 TQ256,6.537,1.090,1.038,21.6,1.978
2010 AN60,6.538,1.090,1.038,26.9,2.001
2002 AJ29,6.538,1.090,1.038,17.3,1.990
1997 XF11,6.538,1.090,1.038,16.9,1.443
2012 FQ1,6.538,1.090,1.038,19.1,2.601
2001 OZ13,6.539,1.090,1.038,17.8,1.517
2006 QX5,6.539,1.090,1.038,23.8,2.124
2001 HJ31,6.539,1.090,1.038,23.8,2.076
2012 DM14,6.540,1.090,1.038,24.4,1.446
2008 MP1,6.540,1.090,1.038,21.9,1.890
2007 WP3,6.540,1.090,1.038,23.5,1.486
2007 KJ,6.541,1.090,1.038,18.8,2.394
2009 WK6,6.541,1.090,1.038,19.2,2.366
2009 BL2,6.541,1.090,1.038,19.4,2.490
2007 VW83,6.541,1.090,1.038,24.1,0.901
1991 FB,6.541,1.090,1.038,19.0,2.366
2012 QJ45,6.542,1.090,1.038,21.0,1.816
2010 TS55,6.542,1.090,1.038,24.3,2.156
2000 JB6,6.542,1.090,1.038,19.2,1.786
2005 TD49,6.542,1.090,1.038,26.4,2.690
2009 NH,6.543,1.090,1.039,18.7,2.176
2002 VU17,6.543,1.091,1.039,24.9,2.468
2012 RW16,6.543,1.091,1.039,25.1,2.444
2001 TE45,6.544,1.091,1.039,22.9,1.806
2012 BL86,6.544,1.091,1.039,24.0,2.557
2007 FK1,6.544,1.091,1.039,20.2,2.493
2012 DX43,6.545,1.091,1.039,23.8,2.036
2009 RR,6.545,1.091,1.039,25.5,1.405
2001 HK31,6.545,1.091,1.039,21.0,2.436
2012 XL134,6.545,1.091,1.039,27.8,2.485
2010 TG54,6.546,1.091,1.039,26.6,1.671
2012 UK171,6.546,1.091,1.039,24.5,0.860
2013 CN35,6.546,1.091,1.039,20.9,1.549
2007 OY,6.547,1.091,1.039,20.9,2.199
2000 WS28,6.547,1.091,1.039,23.6,2.067
2002 VX17,6.547,1.091,1.039,22.1,2.468
2009 WH106,6.548,1.091,1.039,22.5,2.498
1998 DX11,6.549,1.091,1.039,27.0,2.493
2008 WD,6.549,1.091,1.039,25.9,2.428
2011 SM102,6.549,1.091,1.039,24.6,2.467
2010 GL23,6.549,1.091,1.040,22.8,1.155
2012 FB57,6.549,1.091,1.040,19.5,2.018
2011 VQ5,6.549,1.092,1.040,19.9,2.062
2013 CE82,6.549,1.092,1.040,24.6,1.994
2004 RN251,6.550,1.092,1.040,26.1,1.654
2011 BG10,6.551,1.092,1.040,26.3,2.480
2010 VZ,6.551,1.092,1.040,19.5,2.449
2008 YU30,6.552,1.092,1.040,23.2,2.485
2002 PR1,6.552,1.092,1.040,21.9,2.492
2010 RJ64,6.552,1.092,1.040,24.0,2.254
2002 GA,6.553,1.092,1.040,20.1,2.004
2008 XN,6.555,1.093,1.041,21.4,2.166
2012 KN18,6.556,1.093,1.041,24.5,2.702
2008 VB4,6.556,1.093,1.041,28.2,2.333
2012 RS16,6.556,1.093,1.041,21.3,2.101
2011 KV15,6.557,1.093,1.041,26.2,2.592
2012 UV27,6.557,1.093,1.041,19.4,2.107
2009 CC3,6.558,1.093,1.041,19.1,2.200
2004 QN22,6.558,1.093,1.041,24.2,2.496
2001 VJ5,6.558,1.093,1.041,21.2,1.935
2011 OJ5,6.558,1.093,1.041,22.5,1.600
2000 OK8,6.558,1.093,1.041,20.2,0.985
2001 JM1,6.558,1.093,1.041,19.1,1.461
2007 AS2,6.558,1.093,1.041,22.1,2.591
2002 LH3,6.559,1.093,1.041,20.3,2.123
2010 FQ9,6.559,1.093,1.041,22.9,2.049
2010 SR3,6.560,1.093,1.041,21.7,1.809
2010 RK135,6.560,1.093,1.041,25.7,2.508
2008 SJ82,6.561,1.093,1.041,20.6,2.377
2008 WE96,6.561,1.094,1.041,23.7,1.902
2012 AF3,6.561,1.094,1.041,24.6,1.058
2004 XM35,6.562,1.094,1.042,19.7,1.837
2007 FE1,6.563,1.094,1.042,18.8,2.019
2005 UC,6.563,1.094,1.042,19.6,2.289
2006 WU1,6.564,1.094,1.042,22.8,2.230
2005 EO33,6.564,1.094,1.042,21.3,1.971
2001 OC36,6.564,1.094,1.042,22.9,1.425
2005 QG88,6.564,1.094,1.042,20.4,1.728
2009 OC,6.565,1.094,1.042,20.1,2.137
2008 YQ27,6.565,1.094,1.042,22.6,1.303
2008 XB1,6.565,1.094,1.042,20.9,1.333
2012 VA5,6.565,1.094,1.042,21.9,2.597
2002 TA58,6.565,1.094,1.042,26.8,2.472
2009 CP5,6.566,1.094,1.042,21.4,1.226
2011 XZ1,6.566,1.094,1.042,17.4,2.138
2005 TR15,6.566,1.094,1.042,19.0,2.117
2011 OC57,6.566,1.094,1.042,24.5,2.121
2002 CW11,6.567,1.094,1.042,26.1,0.866
2013 GS66,6.567,1.095,1.042,21.0,2.024
1999 WK11,6.567,1.095,1.042,17.6,2.133
1998 FG12,6.568,1.095,1.042,21.0,2.242
2002 GF1,6.568,1.095,1.043,20.5,2.069
2009 SQ103,6.569,1.095,1.043,25.0,2.280
2005 GJ8,6.569,1.095,1.043,20.3,1.767
2008 GG2,6.569,1.095,1.043,22.7,1.587
2009 CX2,6.570,1.095,1.043,23.9,2.408
2012 DL31,6.570,1.095,1.043,22.8,0.959
2012 BR23,6.570,1.095,1.043,21.4,1.550
2012 UE,6.570,1.095,1.043,28.4,1.884
2008 FK,6.570,1.095,1.043,27.3,1.908
2002 AE29,6.570,1.095,1.043,24.9,2.384
